Date,Ward,I_score,Top_I_score,Raw_I_score
2011-12-19,足立,1.6827395083016108,2.285308189623141,6.652961002438238
2011-12-19,葛飾区,2.621123977886864,2.285308189623141,32.541241163514826
2011-12-19,江戸川,1.900008087634081,2.285308189623141,28.081713200944815
2011-12-26,千代田,0.30330844878810087,1.1452499133171847,3.0389139171672888
2011-12-26,中央区,0.5472142868868838,1.1452499133171847,5.852082751378884
2011-12-26,みなと,0.31684937397723373,1.1452499133171847,1.908529414645595
2011-12-26,新宿区,0.19013251368962575,1.1452499133171847,2.261389740529514
2011-12-26,文京,0.3310175807124876,1.1452499133171847,2.5672023522383185
2011-12-26,台東,0.3239803625183781,1.1452499133171847,3.086561318882275
2011-12-26,墨田区,0.9763134082820276,1.1452499133171847,13.783976246316442
2011-12-26,江東区,0.7580709292097499,1.1452499133171847,9.00193615753484
2011-12-26,品川区,0.5651283579289993,1.1452499133171847,-1.2472668307417234
2011-12-26,目黒区,0.5101858322002341,1.1452499133171847,2.1099103638417787
2011-12-26,大田区,0.6793066761815344,1.1452499133171847,-0.2738922950759644
2011-12-26,世田谷,0.9937724012329048,1.1452499133171847,-0.6815927856060542
2011-12-26,渋谷区,0.3340199085852933,1.1452499133171847,0.047032824020126075
2011-12-26,中野区,0.6985725542723568,1.1452499133171847,1.167425025204105
2011-12-26,杉並,0.9439559945886777,1.1452499133171847,1.786928600366748
2011-12-26,池袋,0.5569270406411366,1.1452499133171847,6.132344897053221
2011-12-26,北区,1.0608530754423364,1.1452499133171847,11.703181784927896
2011-12-26,荒川区,0.9983235889696941,1.1452499133171847,8.602137743791522
2011-12-26,板橋区,0.7592490774183711,1.1452499133171847,10.695921875472276
2011-12-26,練馬区,0.48956879491569427,1.1452499133171847,2.356278813699552
2011-12-26,足立,1.2256059029736162,1.1452499133171847,15.129088883483547
2011-12-26,葛飾区,1.2000053089063571,1.1452499133171847,29.857794470576508
2011-12-26,江戸川,1.1621624732119613,1.1452499133171847,27.992047322205742
2012-01-02,千代田,0.4806435099169442,3.132826145333102,0.3603550129246431
2012-01-02,中央区,0.5467493763308386,3.132826145333102,2.505863929043103
2012-01-02,みなと,0.363817079033142,3.132826145333102,2.587516105238175
2012-01-02,新宿区,0.837848185131949,3.132826145333102,4.072967015645757
2012-01-02,文京,0.5923032386074049,3.132826145333102,2.860238903387683
2012-01-02,台東,0.6913665235661961,3.132826145333102,0.3750095875543429
2012-01-02,墨田区,1.7278563643437597,3.132826145333102,4.503768827185662
2012-01-02,江東区,1.359545440616654,3.132826145333102,2.9828595421082724
2012-01-02,品川区,0.8376464969702496,3.132826145333102,6.79256216261838
2012-01-02,目黒区,0.9207352724756964,3.132826145333102,8.726348162190574
2012-01-02,大田区,1.274680407959007,3.132826145333102,8.236132529443859
2012-01-02,世田谷,1.0769315724919857,3.132826145333102,7.18259569705321
2012-01-02,渋谷区,1.2407628860279747,3.132826145333102,4.378324102509201
2012-01-02,中野区,1.4203859495108262,3.132826145333102,6.666285181380073
2012-01-02,杉並,1.7286646714203528,3.132826145333102,9.472023913047675
2012-01-02,池袋,1.1180046542416902,3.132826145333102,7.132893995311441
2012-01-02,北区,0.8263075826879704,3.132826145333102,5.992554609066376
2012-01-02,荒川区,0.9726900305736997,3.132826145333102,6.339133354362043
2012-01-02,板橋区,0.6737973815849314,3.132826145333102,8.17579887395444
2012-01-02,練馬区,1.477231360002821,3.132826145333102,5.9243137975524
2012-01-02,足立,1.603047940646787,3.132826145333102,7.157438297273756
2012-01-02,葛飾区,2.9030117110980584,3.132826145333102,13.410064626839006
2012-01-02,江戸川,4.715107355288453,3.132826145333102,8.083605589309304
2012-01-09,千代田,3.8644726691322417,7.239949659180634,4.417014712566608
2012-01-09,中央区,3.1849556635590774,7.239949659180634,4.3032709776983085
2012-01-09,みなと,2.586377655587186,7.239949659180634,5.014734975767652
2012-01-09,新宿区,3.2229589690811404,7.239949659180634,7.845562700625872
2012-01-09,文京,5.464913863030118,7.239949659180634,10.002652015558722
2012-01-09,台東,3.1534165083916634,7.239949659180634,3.1756286364670827
2012-01-09,墨田区,4.953207145965599,7.239949659180634,8.422627383363393
2012-01-09,江東区,2.9179813948197615,7.239949659180634,4.606208393333078
2012-01-09,品川区,5.238120112451086,7.239949659180634,12.741064916724737
2012-01-09,目黒区,5.459527045919909,7.239949659180634,14.844727314679323
2012-01-09,大田区,6.140162808114753,7.239949659180634,16.173812094359
2012-01-09,世田谷,6.620625954543245,7.239949659180634,16.161231043101235
2012-01-09,渋谷区,3.62053881674335,7.239949659180634,11.224630646195394
2012-01-09,中野区,5.84622055445458,7.239949659180634,15.529851124269076
2012-01-09,杉並,8.037560010380775,7.239949659180634,19.44539312548527
2012-01-09,池袋,5.340959050375211,7.239949659180634,12.698042737391258
2012-01-09,北区,5.671960417920138,7.239949659180634,11.974130344298123
2012-01-09,荒川区,4.853597652725302,7.239949659180634,10.682958260986956
2012-01-09,板橋区,7.002284277595364,7.239949659180634,15.555864448389215
2012-01-09,練馬区,6.301185506493816,7.239949659180634,12.756964022513928
2012-01-09,足立,6.726044652576775,7.239949659180634,13.602642052998823
2012-01-09,葛飾区,4.071889434345478,7.239949659180634,13.740247855522366
2012-01-09,江戸川,10.224303531507658,7.239949659180634,16.899077844040765
2012-01-16,千代田,17.42265838085524,56.03697315655287,29.39542783409013
2012-01-16,中央区,34.586038079051576,56.03697315655287,40.47681572027461
2012-01-16,みなと,17.45894918263389,56.03697315655287,33.16511887043168
2012-01-16,新宿区,13.06266351886506,56.03697315655287,35.90062914140465
2012-01-16,文京,7.954863323744572,56.03697315655287,27.63217352197396
2012-01-16,台東,11.110655889103016,56.03697315655287,19.07740122450494
2012-01-16,墨田区,36.28173309937188,56.03697315655287,62.14086370153022
2012-01-16,江東区,39.9856234226988,56.03697315655287,56.133234744988634
2012-01-16,品川区,20.153258463728793,56.03697315655287,56.35216083430335
2012-01-16,目黒区,15.534831971720852,56.03697315655287,53.93155576737907
2012-01-16,大田区,19.215560436638697,56.03697315655287,62.90475798735234
2012-01-16,世田谷,16.436195894161287,56.03697315655287,57.92433412469466
2012-01-16,渋谷区,16.581221725839598,56.03697315655287,50.98520256679561
2012-01-16,中野区,18.238210177833874,56.03697315655287,55.34392637428998
2012-01-16,杉並,22.66906825929698,56.03697315655287,71.85881566446344
2012-01-16,池袋,22.239234087620112,56.03697315655287,58.98181140272466
2012-01-16,北区,19.694882931203765,56.03697315655287,51.93746509760349
2012-01-16,荒川区,21.18882772233596,56.03697315655287,45.314842758198246
2012-01-16,板橋区,24.839449246402864,56.03697315655287,64.84290638532391
2012-01-16,練馬区,23.727445930432392,56.03697315655287,60.085777576464814
2012-01-16,足立,31.81495089021453,56.03697315655287,65.2356513419651
2012-01-16,葛飾区,51.29079322992152,56.03697315655287,96.5164557459715
2012-01-16,江戸川,80.39869428162821,56.03697315655287,110.14555550423029
2012-01-23,千代田,2.624156397427037,6.376740190765966,60.433754693892496
2012-01-23,中央区,4.291886970924699,6.376740190765966,76.94783054450518
2012-01-23,みなと,2.3474375215147583,6.376740190765966,66.36061811584909
2012-01-23,新宿区,1.8416191816431475,6.376740190765966,68.43535674318981
2012-01-23,文京,2.5172696044529856,6.376740190765966,67.54883773878979
